Quarter_Year,CASA_Ratio,Gross_NPA_Pct,Avg_Stock_Price,Quarter_Year,Net_Interest_Income,Net_Profit,Gross_NPA_Pct,Net_NPA_Pct,CASA_Ratio,Capital_Adequacy_Ratio
2020_Q3,37.7,1.26,1080.375758,2020_Q3,3.4,NULL,1.26,NULL,37.7,NULL
2020_Q4,38.2,1.24,1319.285714,2020_Q4,3.44,NULL,1.24,NULL,38.2,NULL
2021_Q1,36.3,1.33,1514.038525,2021_Q1,3.47,NULL,1.33,NULL,36.3,NULL
2021_Q2,35.3,1.36,1457.535246,2021_Q2,3.46,NULL,1.36,NULL,35.3,NULL
,,,,2022_Q3,3.4,NULL,1.26,NULL,37.7,NULL
,,,,2022_Q4,3.44,NULL,1.24,NULL,38.2,NULL
,,,,FY24_Q3,3.4,NULL,1.26,NULL,37.7,NULL
,,,,FY24_Q4,3.44,NULL,1.24,NULL,38.2,NULL
,,,,FY25_Q1,3.47,NULL,1.33,NULL,36.3,NULL
,,,,FY25_Q2,3.46,NULL,1.36,NULL,35.3,NULL
